date,item_id,name,unit_price,waste,sales_qntty,category,store_name,prediction
2020-06-02,102,Schnittbrötchen,0.36,19.0,383.0,Ebbis und Schnittbrötchen,one,370.6873474121
2020-06-03,102,Schnittbrötchen,0.36,0.0,360.0,Ebbis und Schnittbrötchen,one,331.7059936523
2020-06-04,102,Schnittbrötchen,0.36,53.0,353.0,Ebbis und Schnittbrötchen,one,350.5909118652
2020-06-02,121,Mehrkornbrötchen,0.7,41.0,120.0,Gemischte Brötchen,one,84.0453643799
2020-06-03,121,Mehrkornbrötchen,0.7,0.0,92.0,Gemischte Brötchen,one,80.83322143550001
2020-06-04,121,Mehrkornbrötchen,0.7,33.0,65.0,Gemischte Brötchen,one,85.306930542
2020-06-02,101,Ebbi,0.4,0.0,300.0,Ebbis und Schnittbrötchen,one,315.7503967285
2020-06-03,101,Ebbi,0.4,0.0,308.0,Ebbis und Schnittbrötchen,one,285.5213012695
2020-06-04,101,Ebbi,0.4,96.0,252.0,Ebbis und Schnittbrötchen,one,324.5765686035
2020-06-02,268,Der Ebbing - MK Brot,3.4,5.0,35.0,Brote,one,32.8430786133
2020-06-03,268,Der Ebbing - MK Brot,3.4,0.0,19.5,Brote,one,30.852741241500002
2020-06-04,268,Der Ebbing - MK Brot,3.4,0.5,22.5,Brote,one,27.1495876312
2020-06-02,128,Laugenstangen,1.0,0.0,48.0,Gemischte Brötchen,one,48.1290893555
2020-06-03,128,Laugenstangen,1.0,0.0,38.0,Gemischte Brötchen,one,46.0321922302
2020-06-04,128,Laugenstangen,1.0,2.0,47.0,Gemischte Brötchen,one,46.6805648804
2020-06-05,102,Schnittbrötchen,0.36,42.0,445.0,Ebbis und Schnittbrötchen,one,468.3043212891
2020-06-06,102,Schnittbrötchen,0.36,10.0,674.0,Ebbis und Schnittbrötchen,one,659.3141479492
2020-06-08,102,Schnittbrötchen,0.36,71.0,337.0,Ebbis und Schnittbrötchen,one,312.6549072266
2020-06-05,121,Mehrkornbrötchen,0.7,0.0,47.0,Gemischte Brötchen,one,99.2746200562
2020-06-06,121,Mehrkornbrötchen,0.7,37.0,153.0,Gemischte Brötchen,one,141.1125946045
2020-06-08,121,Mehrkornbrötchen,0.7,0.0,61.0,Gemischte Brötchen,one,83.3146743774
2020-06-05,101,Ebbi,0.4,53.0,337.0,Ebbis und Schnittbrötchen,one,374.7480773926
2020-06-06,101,Ebbi,0.4,159.0,488.0,Ebbis und Schnittbrötchen,one,518.9722900391
2020-06-08,101,Ebbi,0.4,60.0,265.0,Ebbis und Schnittbrötchen,one,284.256439209
2020-06-05,268,Der Ebbing - MK Brot,3.4,3.5,22.5,Brote,one,25.9654197693
2020-06-06,268,Der Ebbing - MK Brot,3.4,0.0,41.0,Brote,one,36.760932922399995
2020-06-08,268,Der Ebbing - MK Brot,3.4,0.0,32.0,Brote,one,32.1921005249
2020-06-05,128,Laugenstangen,1.0,0.0,50.0,Gemischte Brötchen,one,43.8168258667
2020-06-06,128,Laugenstangen,1.0,38.0,52.0,Gemischte Brötchen,one,56.1852989197
2020-06-08,128,Laugenstangen,1.0,1.0,48.0,Gemischte Brötchen,one,47.88436889649999
2020-06-09,102,Schnittbrötchen,0.36,67.0,313.0,Ebbis und Schnittbrötchen,one,340.8839416504
2020-06-10,102,Schnittbrötchen,0.36,255.0,441.0,Ebbis und Schnittbrötchen,one,557.5419921875
2020-06-12,102,Schnittbrötchen,0.36,23.0,565.0,Ebbis und Schnittbrötchen,one,504.5415649414
2020-06-09,121,Mehrkornbrötchen,0.7,11.0,66.0,Gemischte Brötchen,one,75.4078216553
2020-06-10,121,Mehrkornbrötchen,0.7,36.0,126.0,Gemischte Brötchen,one,119.8887557983
2020-06-12,121,Mehrkornbrötchen,0.7,9.0,74.0,Gemischte Brötchen,one,99.3759460449
2020-06-09,101,Ebbi,0.4,89.0,235.0,Ebbis und Schnittbrötchen,one,285.3301696777
2020-06-10,101,Ebbi,0.4,75.0,363.0,Ebbis und Schnittbrötchen,one,438.25466918949996
2020-06-12,101,Ebbi,0.4,64.0,469.0,Ebbis und Schnittbrötchen,one,431.48583984379997
2020-06-09,268,Der Ebbing - MK Brot,3.4,0.0,28.5,Brote,one,29.2629013062
2020-06-10,268,Der Ebbing - MK Brot,3.4,0.5,35.5,Brote,one,34.8374328613
2020-06-12,268,Der Ebbing - MK Brot,3.4,3.0,25.0,Brote,one,25.987071991
2020-06-09,128,Laugenstangen,1.0,0.0,51.0,Gemischte Brötchen,one,44.165508270299995
2020-06-10,128,Laugenstangen,1.0,0.0,46.0,Gemischte Brötchen,one,54.0977706909
2020-06-12,128,Laugenstangen,1.0,0.0,58.0,Gemischte Brötchen,one,50.1884765625
2020-06-13,102,Schnittbrötchen,0.36,162.0,564.0,Ebbis und Schnittbrötchen,one,630.0104370117
